,carid,pushDate,pushPrice,updatePriceTimeJson,展销时间,品牌 id,车系 id,车型 id,里程,车辆颜色,车辆所在城市 id,国标码,过户次数,载客人数,注册日期,上牌日期,国别,厂商类型,年款,排量,变速箱,燃油类型,新车价,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,target,fday
927,19592,2021-07-09,18.68,"{'2021-07-09': 18.68, '2021-07-28': '16.6', '2021-08-01': '17.8'}",2021-08-01,27,220,524,9.73,1,4,2,0,7,2016-01-01,2016-03-04,779411.0,2.0,2016.0,2.0,19,1,40.8,1.0,3,2,,50,1,,2.0,5.0,2.0,1+2,4599*1894*1724,201510.0,2,,17.8,23
832,1515,2021-07-10,8.78,"{'2021-07-10': 8.78, '2021-08-01': '8.4'}",2021-08-01,7,86,1278,3.29,4,3,1,1,5,2018-05-01,2018-08-08,779415.0,2.0,2016.0,1.6,11,1,12.29,1.0,2,2,89.0,7,3,2021-06-18,1.0,5.0,2.0,1,4393*1766*1524,201605.0,1,,8.4,22
1250,605,2021-07-21,7.28,"{'2021-07-21': 7.28, '2021-07-28': '6.68', '2021-08-01': '6.55'}",2021-08-01,33,302,563,11.04,2,2,1,0,5,2015-09-01,2015-10-10,779414.0,2.0,2015.0,1.6,3,1,21.97,1.0,6,2,60.0,35,2,,2.0,4.0,3.0,1+2,4826*1855*1465,201501.0,2,,6.55,11
1844,28769,2021-08-01,14.5,{'2021-08-01': 14.5},2021-08-01,18,243,5865,11.53,2,1,2,1,5,2010-02-01,2010-07-08,779412.0,3.0,2009.0,3.0,3,1,85.3,1.0,11,2,521.0,20,1,2020-12-09,1.0,5.0,2.0,3+2,4854*1933*1776,200908.0,1,,14.5,0
1372,60543,2021-08-01,13.3,{'2021-08-01': 13.3},2021-08-01,8,469,1342,0.98,1,1,4,0,5,2020-01-01,2020-06-12,779412.0,2.0,2020.0,1.4,16,1,18.88,1.0,5,2,235.0,10,1,,2.0,5.0,,1+2,4453*1841*1632,201911.0,1,,13.3,0
300,54400,2021-07-11,2.82,"{'2021-07-11': 2.82, '2021-07-28': '2', '2021-08-01': '2.5'}",2021-08-01,15,65,9846,13.77,2,4,2,0,5,2013-09-01,2013-10-24,779413.0,1.0,2012.0,2.0,6,1,12.38,1.0,3,2,,17,1,,1.0,5.0,2.0,1+2,4732*1854*1680,201203.0,1,,2.5,21
1407,69916,2021-08-01,7.89,{'2021-08-01': 7.89},2021-08-01,12,71,656,6.23,1,1,1,1,5,2014-01-01,2014-03-07,779415.0,2.0,2013.0,1.8,22,1,13.98,1.0,2,2,127.0,13,2,2021-05-31,1.0,4.0,3.0,1+2,4535*1755*1450,201305.0,1,,7.89,0
10,14026,2021-04-15,7.28,"{'2021-04-15': 7.28, '2021-07-13': '1.8', '2021-08-01': '1.6'}",2021-08-01,10,830,3445,9.02,6,7,2,0,5,2015-01-01,2015-08-26,779415.0,2.0,2015.0,1.5,6,1,6.69,1.0,2,2,129.0,11,2,,2.0,4.0,3.0,1,4458*1755*1493,201506.0,1,,1.6,108
1746,142,2021-08-02,3.2,{'2021-08-02': 3.2},2021-08-02,2,2,138,10.33,5,5,3,0,5,2010-07-01,2010-08-11,779415.0,2.0,2008.0,1.8,4,1,14.98,1.0,2,2,88.0,2,2,,1.0,4.0,3.0,1+2,4540*1760*1490,,2,,3.2,0
670,10993,2021-08-02,9.0,{'2021-08-02': 9.0},2021-08-02,11,63,2906,8.77,5,19,2,0,5,2011-08-01,2011-09-27,779412.0,2.0,2011.0,2.0,2,1,30.98,1.0,6,2,,12,2,,2.0,4.0,3.0,1+2,4763*1826*1426,201009.0,1,,9.0,0
402,63471,2021-08-02,13.5,{'2021-08-02': 13.5},2021-08-02,7,57,1084,7.96,1,9,1,0,5,2017-03-01,2017-04-11,779415.0,2.0,2014.0,2.0,20,1,19.68,,5,2,44.0,7,1,,1.0,5.0,2.0,1+2,4643*1820*1725,201403.0,1,,13.5,0
426,43230,2021-08-01,8.0,"{'2021-08-01': 8.0, '2021-08-02': '7.68'}",2021-08-02,2,329,8133,8.78,5,14,1,0,5,2014-10-01,2015-04-17,779415.0,2.0,2014.0,1.8,11,1,15.98,1.0,14,2,88.0,24,6,,1.0,5.0,2.0,1+2,4450*1790*1640,201309.0,1,,7.68,1
1214,50245,2021-08-02,7.8,{'2021-08-02': 7.8},2021-08-02,2,187,305,9.74,1,1,2,0,5,2012-08-01,2012-08-21,779415.0,2.0,2012.0,2.0,4,1,22.18,1.0,5,2,156.0,2,1,,1.0,5.0,2.0,1+2,4630*1855*1720,201203.0,1,,7.8,0
1984,120,2021-07-26,5.0,"{'2021-07-26': 5.0, '2021-08-02': '3.1'}",2021-08-02,20,95,116,12.73,5,1,3,0,5,2006-04-01,2006-11-23,779412.0,2.0,2007.0,3.0,15,1,61.8,1.0,8,2,75.0,21,2,,1.0,4.0,3.0,1+2,4856*1822*1483,200611.0,2,,3.1,7
768,612,2021-08-02,2.1,{'2021-08-02': 2.1},2021-08-02,57,214,570,9.79,5,5,1,2,7,2016-03-01,2016-10-21,779413.0,1.0,2016.0,1.6,6,1,7.19,1.0,12,2,229.0,63,6,2020-09-14,1.0,4.0,2.0,,4680*1720*1940,201511.0,2,,2.1,0
1440,1205,2021-08-02,14.8,{'2021-08-02': 14.8},2021-08-02,12,53,1057,2.44,1,3,2,1,5,2016-12-01,2016-12-13,779415.0,2.0,2015.0,2.4,11,1,23.98,1.0,5,2,330.0,13,1,2017-08-09,1.0,5.0,2.0,1+2,4585*1820*1685,201504.0,1,,14.8,0
1357,35261,2021-08-02,19.2,{'2021-08-02': 19.2},2021-08-02,3,3,813,3.5,1,1,1,0,7,2017-09-01,2017-11-23,779416.0,2.0,2016.0,2.0,3,1,33.98,1.0,3,2,3.0,3,1,,2.0,5.0,2.0,3+2,4878*1925*1770,201605.0,1,,19.2,0
1570,1272,2021-08-02,4.1,{'2021-08-02': 4.1},2021-08-02,43,424,1105,3.84,4,1,1,0,5,2014-12-01,2015-02-11,779417.0,2.0,2014.0,1.4,16,1,12.28,1.0,2,2,,44,3,,2.0,5.0,2.0,1+2,4545*1850*1475,201403.0,1,,4.1,0
674,62136,2021-07-27,1.58,"{'2021-07-27': 1.58, '2021-08-02': '1.3'}",2021-08-02,54,1179,10955,10.61,5,19,3,0,5,2006-01-01,2007-08-01,779415.0,2.0,2005.0,2.4,6,1,16.98,,5,2,,169,1,,1.0,5.0,2.0,1,4545*1750*1680,,2,,1.3,6
1027,49090,2021-08-02,7.2,{'2021-08-02': 7.2},2021-08-02,17,169,8991,4.38,3,15,1,0,6,2019-03-01,2019-06-29,779413.0,1.0,2019.0,1.5,23,1,10.19,1.0,14,1,115.0,19,6,,2.0,5.0,,1+2,4680*1810*1680,201906.0,1,,7.2,0
905,66096,2021-08-01,16.65,"{'2021-08-01': 16.65, '2021-08-02': '16.35'}",2021-08-02,20,179,11544,13.0,2,15,2,0,5,2008-06-01,2009-01-06,779412.0,3.0,2008.0,3.5,15,1,139.8,1.0,16,2,,48,2,,1.0,4.0,3.0,1+2,5206*1871*1473,,1,,16.35,1
1143,13046,2021-07-13,5.35,"{'2021-07-13': 5.35, '2021-07-23': '5.15', '2021-07-26': '5.3', '2021-08-02': '5.1'}",2021-08-02,2,349,767,8.21,1,15,1,0,5,2015-10-01,2016-01-06,779415.0,2.0,2015.0,1.5,4,1,8.58,1.0,4,2,273.0,24,3,,1.0,5.0,2.0,1,4115*1700*1495,201410.0,1,,5.1,20
1278,20577,2021-08-02,4.5,{'2021-08-02': 4.5},2021-08-02,7,113,501,11.91,5,1,2,0,5,2011-06-01,2011-09-08,779415.0,2.0,2009.0,1.6,4,1,14.58,1.0,2,2,68.0,7,2,,1.0,4.0,3.0,1,4665*1700*1510,200904.0,1,,4.5,0
920,57230,2021-08-02,29.58,{'2021-08-02': 29.58},2021-08-02,18,175,10262,6.27,1,18,1,0,5,2017-01-01,2017-05-09,779412.0,2.0,2017.0,2.0,13,1,49.96,1.0,8,2,34.0,23,2,,2.0,4.0,3.0,3+2,5055*1860*1491,201607.0,1,2100-08-02,29.58,0
1282,52664,2021-08-02,24.8,{'2021-08-02': 24.8},2021-08-02,11,63,326,3.85,1,1,1,0,5,2018-11-01,2019-01-08,779412.0,2.0,2019.0,2.0,7,1,33.58,1.0,6,2,50.0,12,2,,2.0,4.0,,1+2,4837*1843*1432,201810.0,1,,24.8,0
1788,43892,2021-07-18,26.5,"{'2021-07-18': 26.5, '2021-08-02': '25.4'}",2021-08-02,12,224,1006,4.44,1,10,1,2,7,2017-08-01,2017-10-25,779415.0,2.0,2016.0,2.4,11,1,30.98,,12,2,330.0,13,6,2019-09-29,1.0,5.0,2.0,1+2,4940*1845*1710,201601.0,1,,25.4,15
1486,635,2021-08-02,19.8,{'2021-08-02': 19.8},2021-08-02,11,238,591,8.75,1,1,1,0,5,2016-10-01,2016-12-09,779412.0,2.0,2017.0,2.0,13,1,42.76,1.0,3,2,,12,1,,2.0,5.0,2.0,1+2,4629*1898*1655,201609.0,2,,19.8,0
214,1053,2021-08-02,2.1,{'2021-08-02': 2.1},2021-08-02,13,18,938,8.37,4,5,2,2,5,2010-04-01,2010-05-25,779416.0,2.0,2009.0,1.8,3,1,13.49,1.0,2,2,,14,2,2019-08-02,1.0,4.0,3.0,1,4598*1797*1477,,2,2029-08-02,2.1,0
857,73686,2021-08-02,6.0,{'2021-08-02': 6.0},2021-08-02,7,113,12649,3.28,5,1,1,2,5,2019-06-01,2019-07-30,779415.0,2.0,2018.0,1.6,11,1,10.98,1.0,2,2,89.0,7,2,2021-07-30,1.0,4.0,,1,4665*1700*1505,201801.0,1,2029-07-30,6.0,0
18,35849,2021-07-18,6.98,"{'2021-07-18': 6.98, '2021-08-02': '6.75'}",2021-08-02,16,487,6964,7.81,4,15,1,0,5,2015-04-01,2015-05-19,779415.0,2.0,2014.0,1.5,3,1,13.89,1.0,2,2,,27,3,,1.0,5.0,2.0,1+2,4461*1795*1474,201405.0,1,,6.75,15
28,645,2021-08-02,7.8,{'2021-08-02': 7.8},2021-08-02,2,134,601,8.37,1,2,1,0,5,2018-07-01,2018-08-13,779415.0,2.0,2017.0,1.2,2,1,12.48,1.0,2,2,,24,2,,2.0,4.0,3.0,1+2,4630*1775*1480,,2,,7.8,0
716,209,2021-08-02,6.25,{'2021-08-02': 6.25},2021-08-02,17,155,203,3.67,5,5,4,0,5,2020-08-01,2020-09-29,779413.0,1.0,2020.0,1.5,23,1,9.98,1.0,2,2,115.0,19,2,,2.0,4.0,,1,4765*1837*1500,202005.0,2,,6.25,0
1817,33662,2021-08-03,3.58,{'2021-08-03': 3.58},2021-08-03,85,425,6639,0.52,1,1,1,0,5,2018-12-01,2019-01-03,779413.0,1.0,2016.0,1.5,6,1,4.99,3.0,9,2,349.0,105,5,,1.0,4.0,,,4980*1720*1700,201601.0,1,,3.58,0
387,52570,2021-08-03,8.0,{'2021-08-03': 8.0},2021-08-03,5,67,1160,6.17,1,19,1,0,5,2016-04-01,2016-08-11,779416.0,2.0,2015.0,1.6,3,1,20.99,1.0,6,2,54.0,5,2,,2.0,4.0,3.0,1+2,4843*1856*1484,201410.0,2,,8.0,0
309,38338,2021-07-30,8.7,"{'2021-07-30': 8.7, '2021-08-03': '9'}",2021-08-03,44,201,299,5.67,2,3,1,0,5,2017-03-01,2017-04-05,779416.0,2.0,2017.0,1.4,16,1,17.98,1.0,5,2,,46,1,,2.0,5.0,2.0,1+2,4415*1819*1625,201612.0,2,,9.0,4
437,965,2021-07-15,3.0,"{'2021-07-15': 3.0, '2021-07-17': '2.8', '2021-08-03': '2.6'}",2021-08-03,6,353,871,0.68,2,1,2,0,5,2012-04-01,2012-06-29,779413.0,1.0,2012.0,1.8,11,1,9.28,1.0,2,2,29.0,6,2,,1.0,4.0,3.0,1,4635*1789*1470,201109.0,2,,2.6,19
163,1285,2021-07-25,6.8,"{'2021-07-25': 6.8, '2021-08-03': '5.7'}",2021-08-03,7,86,1113,8.51,2,2,2,1,5,2015-04-01,2015-09-24,779415.0,2.0,2014.0,1.6,11,1,11.53,1.0,2,2,68.0,7,3,2017-12-22,1.0,5.0,2.0,1,4295*1760*1520,201411.0,2,,5.7,9
60,1171,2021-07-19,3.8,"{'2021-07-19': 3.8, '2021-08-03': '3.3'}",2021-08-03,14,19,1030,2.8,1,1,1,0,5,2018-05-01,2019-03-08,,,2016.0,1.5,6,1,7.68,1.0,1,2,16.0,15,1,,,,,1,4300*1815*1640,201605.0,1,,3.3,15
1266,633,2021-06-20,8.0,"{'2021-06-20': 8.0, '2021-08-03': '7.15'}",2021-08-03,38,278,590,4.24,1,1,1,0,5,2017-05-01,2017-07-14,779421.0,2.0,2017.0,1.6,3,1,15.19,1.0,2,2,,38,4,,1.0,5.0,3.0,1+2,4659*1814*1460,201604.0,2,,7.15,44
1153,1075,2021-08-03,1.06,{'2021-08-03': 1.06},2021-08-03,47,150,955,6.77,4,1,2,0,5,2010-01-01,2010-05-13,,,2010.0,1.6,17,1,12.19,1.0,2,2,,51,3,,,,,1+2,4282*1773*1483,201011.0,1,,1.06,0
455,4173,2021-07-31,3.2,"{'2021-07-31': 3.2, '2021-08-03': '3'}",2021-08-03,8,171,1774,7.19,1,17,2,0,5,2014-02-01,2014-03-31,779412.0,2.0,2013.0,1.6,6,1,8.99,1.0,2,2,,10,2,,1.0,4.0,3.0,1,4473*1706*1469,201212.0,1,,3.0,3
744,1178,2021-08-03,3.96,{'2021-08-03': 3.96},2021-08-03,38,412,1037,9.76,3,1,2,1,5,2010-07-01,2010-11-05,779421.0,2.0,2009.0,1.8,3,1,21.59,1.0,6,2,,38,2,2017-10-31,2.0,4.0,3.0,1+2,4838*1817*1462,200907.0,2,,3.96,0
1672,66281,2021-06-13,13.68,"{'2021-06-13': 13.68, '2021-06-15': '13.58', '2021-06-21': '13.48', '2021-07-02': '13.38', '2021-07-07': '13.35', '2021-07-27': '3.95', '2021-07-30': '4.3', '2021-08-01': '4.25', '2021-08-03': '4.5'}",2021-08-03,38,412,11590,12.17,8,3,2,0,5,2011-09-01,2012-01-04,779412.0,2.0,2012.0,1.8,3,1,21.79,1.0,6,2,,38,2,2020-12-13,2.0,4.0,3.0,1+2,4838*1817*1462,201112.0,2,2035-06-13,4.5,51
1765,4988,2021-08-03,2.38,{'2021-08-03': 2.38},2021-08-03,8,16,1921,10.48,5,7,2,2,5,2009-08-01,2009-09-07,779412.0,2.0,2008.0,1.6,3,1,11.98,1.0,2,2,,8,2,2021-01-27,1.0,4.0,3.0,1,4540*1775*1467,200810.0,1,,2.38,0
130,34644,2021-08-03,26.8,{'2021-08-03': 26.8},2021-08-03,20,179,6768,15.52,2,1,2,0,5,2012-03-01,2012-06-06,779412.0,3.0,2012.0,3.0,15,1,93.0,1.0,16,2,,48,2,,1.0,4.0,3.0,3+2,5230*1871*1485,201206.0,1,,26.8,0
1043,1617,2021-07-23,6.2,"{'2021-07-23': 6.2, '2021-08-03': '5.9'}",2021-08-03,38,278,1350,5.1,5,1,1,0,5,2017-01-01,2017-06-29,779421.0,2.0,2017.0,1.6,6,1,12.89,1.0,2,2,,38,4,,1.0,5.0,3.0,1+2,4659*1814*1460,201604.0,1,,5.9,11
1219,66860,2021-06-09,20.6,"{'2021-06-09': 20.6, '2021-06-11': '20.18', '2021-06-16': '19.98', '2021-06-19': '19.48', '2021-06-25': '18.98', '2021-07-13': '18.5', '2021-08-03': '17.9'}",2021-08-03,11,238,958,11.26,5,1,1,1,5,2014-12-01,2015-02-05,779412.0,2.0,2015.0,2.0,13,1,38.76,1.0,3,2,,12,1,2021-05-14,2.0,5.0,2.0,1+2,4629*1898*1655,201412.0,1,,17.9,55
1980,7532,2021-07-21,8.6,"{'2021-07-21': 8.6, '2021-08-03': '7.98'}",2021-08-03,18,175,2362,14.65,1,14,3,1,5,2009-05-01,2009-07-07,779412.0,2.0,2009.0,3.0,3,1,61.36,1.0,8,2,311.0,23,2,2021-03-15,1.0,4.0,3.0,1+2,4981*1846*1477,,2,,7.98,13
1413,32848,2021-08-03,9.38,{'2021-08-03': 9.38},2021-08-03,8,83,6511,11.35,5,1,2,0,5,2011-08-01,2011-09-22,779412.0,2.0,2011.0,2.0,23,1,30.08,1.0,6,2,,8,2,,2.0,4.0,3.0,1+2,4799*1855*1417,201104.0,1,,9.38,0
822,80,2021-08-03,3.1,"{'2021-08-03': 3.1, '2021-08-04': '2.9579'}",2021-08-04,12,21,78,19.96,7,5,2,1,5,2011-07-01,2011-07-25,779415.0,2.0,2011.0,1.3,22,1,8.98,1.0,4,2,52.0,16,3,2018-03-03,1.0,5.0,2.0,1+2,3900*1695*1525,201103.0,2,,2.9579,1
473,51795,2021-08-04,9.3,{'2021-08-04': 9.3},2021-08-04,8,101,560,9.27,6,1,1,0,5,2014-05-01,2014-07-08,779412.0,2.0,2013.0,1.8,16,1,23.28,1.0,6,2,,8,2,,2.0,4.0,3.0,1+2,4865*1820*1475,201306.0,1,,9.3,0
1982,12777,2021-08-04,1.99,{'2021-08-04': 1.99},2021-08-04,19,799,3256,12.14,5,5,2,0,7,2012-09-01,2013-09-27,779413.0,1.0,2013.0,2.0,17,1,8.98,1.0,14,2,635.0,9,6,,1.0,5.0,2.0,1,4574*1704*1845,201306.0,2,,1.99,0
151,72929,2021-08-04,7.87,{'2021-08-04': 7.87},2021-08-04,12,902,12540,12.03,5,15,2,1,5,2012-04-01,2012-04-19,779415.0,2.0,2012.0,2.4,22,1,28.68,1.0,6,2,768.0,16,4,2020-10-10,1.0,5.0,2.0,1+2,4995*1900*1560,201204.0,1,,7.87,0
213,65008,2021-08-04,14.88,{'2021-08-04': 14.88},2021-08-04,20,95,11408,12.36,2,14,2,0,5,2013-04-01,2013-08-06,779412.0,2.0,2013.0,1.8,15,1,51.8,1.0,8,2,,21,2,,2.0,4.0,3.0,3+2,5012*1855*1464,201211.0,1,,14.88,0
1610,9370,2021-08-04,0.38,{'2021-08-04': 0.38},2021-08-04,25,740,2697,7.21,5,7,2,1,5,2008-10-01,2008-11-20,,,2008.0,1.3,6,1,3.89,1.0,7,2,577.0,28,3,2021-07-08,,,,1,3525*1650*1550,200802.0,2,,0.38,0
990,692,2021-07-27,10.0,"{'2021-07-27': 10.0, '2021-08-04': '7.0'}",2021-08-04,77,315,642,8.06,1,5,4,0,5,2019-05-01,2019-09-27,779415.0,2.0,2019.0,1.5,27,2,21.98,1.0,5,2,245.0,83,1,,1.0,5.0,,1+2,4510*1852*1708,201808.0,2,,7.0,8
1840,54465,2021-08-04,0.88,{'2021-08-04': 0.88},2021-08-04,33,162,9872,14.41,5,14,2,1,5,2010-06-01,2010-09-29,779414.0,2.0,2010.0,1.6,17,1,10.58,1.0,2,2,118.0,35,2,2018-01-25,1.0,4.0,3.0,1+2,4481*1746*1526,200909.0,1,,0.88,0
149,594,2021-08-04,3.1,{'2021-08-04': 3.1},2021-08-04,6,149,444,4.26,1,5,1,0,5,2015-12-01,2016-03-01,779413.0,1.0,2016.0,1.5,6,1,7.98,1.0,2,2,112.0,6,2,,1.0,4.0,3.0,1,4631*1789*1470,201512.0,2,,3.1,0
1352,57508,2021-08-04,1.28,{'2021-08-04': 1.28},2021-08-04,13,377,10306,12.53,5,14,2,0,5,2008-10-01,2009-01-07,779416.0,2.0,2007.0,1.4,4,1,8.29,1.0,4,2,299.0,14,2,,1.0,4.0,3.0,1,4310*1690*1507,,1,,1.28,0
997,54189,2021-08-04,7.8,{'2021-08-04': 7.8},2021-08-04,11,15,9826,12.29,2,1,2,3,5,2009-11-01,2010-01-06,779412.0,2.0,2010.0,2.4,20,1,47.58,1.0,8,2,504.0,12,2,2019-01-29,1.0,4.0,3.0,1+2,5035*1855*1485,200908.0,1,,7.8,0
248,63037,2021-08-04,13.8,{'2021-08-04': 13.8},2021-08-04,2,34,1001,9.77,2,17,2,0,5,2014-10-01,2014-12-11,779415.0,2.0,2012.0,2.7,3,1,24.88,1.0,3,2,328.0,24,1,,1.0,5.0,2.0,1+2,4795*1910*1730,201206.0,1,,13.8,0
432,19373,2021-08-04,13.8,{'2021-08-04': 13.8},2021-08-04,20,127,1015,4.62,1,1,1,1,5,2013-02-01,2013-07-29,779412.0,2.0,2013.0,1.8,15,1,38.8,1.0,6,2,,21,2,2021-08-04,2.0,4.0,3.0,3+2,4581*1770*1448,201211.0,1,,13.8,0
281,63046,2021-08-04,13.5,{'2021-08-04': 13.5},2021-08-04,2,34,1001,5.78,2,1,2,1,5,2013-08-01,2013-09-11,779415.0,2.0,2012.0,2.7,3,1,24.88,1.0,3,2,328.0,24,1,2015-06-12,1.0,5.0,2.0,1+2,4795*1910*1730,201206.0,2,,13.5,0
1945,32184,2021-08-04,8.68,{'2021-08-04': 8.68},2021-08-04,2,82,6394,10.78,2,14,1,0,5,2014-10-01,2014-11-12,779415.0,2.0,2010.0,2.0,4,1,18.28,1.0,6,2,156.0,24,2,,1.0,4.0,3.0,1+2,4825*1820*1485,201003.0,1,,8.68,0
1811,48410,2021-08-04,22.8,{'2021-08-04': 22.8},2021-08-04,11,63,8911,4.18,1,1,1,0,5,2018-08-01,2018-09-26,779412.0,2.0,2018.0,2.0,7,1,36.7,1.0,6,2,50.0,12,2,,2.0,4.0,3.0,1+2,4818*1843*1432,201710.0,1,,22.8,0
634,26218,2021-07-10,7.1,"{'2021-07-10': 7.1, '2021-07-24': '7.38', '2021-08-04': '7.68'}",2021-08-04,7,113,284,8.27,5,14,1,1,5,2016-01-01,2016-03-08,779415.0,2.0,2014.0,1.6,11,1,13.78,1.0,2,2,89.0,7,2,2018-11-08,1.0,4.0,3.0,1,4610*1760*1495,201404.0,1,,7.68,25
908,41529,2021-07-27,3.38,"{'2021-07-27': 3.38, '2021-08-04': '2.78'}",2021-08-04,47,150,7837,8.94,5,1,2,0,5,2012-09-01,2012-09-27,779414.0,2.0,2012.0,1.6,17,1,12.88,1.0,2,2,,51,2,,1.0,4.0,3.0,1+2,4588*1773*1486,201203.0,1,,2.78,8
952,70493,2021-08-04,6.48,{'2021-08-04': 6.48},2021-08-04,17,480,12153,4.26,1,17,1,0,5,2018-07-01,2018-09-04,,,2017.0,1.5,10,2,18.59,1.0,2,2,19.0,19,2,,,,,1,4740*1770*1480,201707.0,2,,6.48,0
1427,3475,2021-08-04,11.8,{'2021-08-04': 11.8},2021-08-04,5,67,1664,4.61,1,19,1,0,5,2018-03-01,2018-04-13,779416.0,2.0,2017.0,1.5,19,1,19.98,1.0,6,2,,5,2,,2.0,4.0,3.0,1+2,4902*1863*1461,201707.0,1,,11.8,0
71,1186,2021-08-04,8.0,{'2021-08-04': 8.0},2021-08-04,4,4,1043,6.87,7,1,2,5,4,2014-11-01,2015-06-24,779411.0,3.0,2015.0,1.2,12,1,18.5,1.0,4,2,283.0,4,3,2020-06-09,2.0,3.0,2.0,1+2,3832*1727*1447,201409.0,1,,8.0,0
917,67372,2021-08-04,8.98,{'2021-08-04': 8.98},2021-08-04,30,803,11748,12.99,7,14,2,0,5,2013-07-01,2013-11-20,779418.0,3.0,2014.0,2.0,3,1,32.29,1.0,6,2,,68,2,,2.0,4.0,3.0,1+2,4635*1865*1484,201308.0,1,,8.98,0
1997,393,2021-08-04,3.4,{'2021-08-04': 3.4},2021-08-04,10,52,372,19.46,1,2,1,0,5,2017-12-01,2018-02-07,779413.0,1.0,2017.0,1.5,20,1,7.89,1.0,2,2,41.0,11,2,,1.0,4.0,3.0,1,4572*1825*1482,201703.0,2,,3.4,0
1140,1042,2021-08-05,3.38,{'2021-08-05': 3.38},2021-08-05,39,96,117,4.22,4,4,1,0,7,2017-11-01,2017-12-06,779413.0,1.0,2017.0,1.5,12,1,8.39,1.0,3,2,76.0,40,1,,2.0,5.0,2.0,1,4715*1830*1780,201706.0,2,2035-08-05,3.38,0
887,50698,2021-07-30,18.8,"{'2021-07-30': 18.8, '2021-08-02': '18', '2021-08-05': '17.8'}",2021-08-05,20,95,9286,10.1,2,17,2,0,5,2013-09-01,2014-01-02,779412.0,2.0,2014.0,1.8,15,1,53.3,1.0,8,2,,21,2,,2.0,4.0,3.0,3+2,5021*1854*1487,201308.0,2,2049-07-29,17.8,6
