carid,pushDate,pushPrice,updatePriceTimeJson,pullDate,withdrawDate,展销时间,品牌 id,车系 id,车型 id,里程,车辆颜色,车辆所在城市 id,国标码,过户次数,载客人数,注册日期,上牌日期,国别,厂商类型,年款,排量,变速箱,燃油类型,新车价,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,target,成交周期
16035,2020-03-05,5.5,{},2020-05-01,2020-05-01,2020-03-05,2,82,3727,19.41,1,1,3.0,1,5,2007-06-01,2007-07-05,,,2007.0,2.4,21.0,1,22.98,1.0,6,2,66.0,24,2,2020-01-09,,,,1+2,4825*1820*1485,200606.0,2,,5.5,57.0
68448,2020-06-13,28.8,"{""2020-06-14"": ""28"", ""2020-06-22"": ""27.8""}",2020-06-27,2020-06-27,2020-06-22,20,255,11877,9.56,2,19,2.0,1,6,2014-10-01,2015-04-27,779412.0,3.0,2014.0,3.0,15.0,1,67.8,1.0,10,2,246.0,48,6,2019-01-19,5.0,5.0,2.0,1+2,5157*1922*1674,201404.0,1,,27.8,14.0
10877,2020-08-08,7.3,{},2020-09-19,2020-09-19,2020-08-08,8,16,514,3.94,1,14,1.0,0,5,2017-06-01,2017-11-27,779412.0,2.0,2016.0,1.6,3.0,1,13.18,1.0,2,2,,8,2,,1.0,4.0,3.0,1,4562*1793*1468,201603.0,2,,7.3,42.0
1444,2021-04-12,1.95,"{""2021-05-08"": ""1.24""}",2021-07-05,2021-07-05,2021-05-08,38,85,1232,12.81,2,3,2.0,0,5,2010-08-01,2010-12-02,779421.0,2.0,2011.0,1.4,6.0,1,7.89,1.0,4,2,,82,3,,1.0,5.0,2.0,1+2,3992*1642*1500,201007.0,1,,1.24,84.0
8221,2020-09-16,7.5,{},2020-09-18,2020-09-18,2020-09-16,4,4,2495,6.86,3,1,2.0,0,4,2010-05-01,2010-07-16,779411.0,3.0,2010.0,1.6,3.0,1,24.9,1.0,4,2,4.0,4,3,,1.0,3.0,2.0,1+2,3699*1683*1407,200910.0,1,,7.5,2.0
67382,2021-03-11,38.5,{},2021-03-12,2021-03-12,2021-03-11,18,175,11733,2.69,1,19,4.0,0,5,2020-01-01,2020-03-17,779412.0,2.0,2020.0,2.0,13.0,1,42.69,1.0,8,2,153.0,23,2,,2.0,4.0,,3+2,5087*1868*1500,201910.0,2,,38.5,1.0
21509,2020-05-20,3.4,"{""2020-07-05"": ""2.98""}",2020-07-13,2020-07-13,2020-07-05,6,149,444,5.11,2,3,1.0,0,5,2015-12-01,2016-02-25,779413.0,1.0,2016.0,1.5,6.0,1,7.98,1.0,2,2,112.0,6,2,,1.0,4.0,3.0,1,4631*1789*1470,201512.0,2,,2.98,54.0
41019,2020-04-16,5.88,"{""2020-04-25"": ""5.18""}",2020-04-29,2020-04-29,2020-04-25,17,480,7751,9.07,1,17,1.0,1,5,2016-08-01,2016-12-28,,,2015.0,1.5,32.0,2,21.98,1.0,2,2,19.0,19,2,2017-02-13,,,,3+2,4740*1770*1480,201505.0,1,,5.18,13.0
5878,2020-08-30,15.46,{},2020-09-04,2020-09-04,2020-08-30,5,90,418,6.58,2,1,1.0,0,5,2018-10-01,2018-12-20,779416.0,2.0,2018.0,2.0,19.0,1,26.98,1.0,6,2,,5,2,,2.0,4.0,,1+2,5018*1866*1461,201711.0,1,,15.46,5.0
1306,2021-07-05,2.0,"{""2021-07-11"": ""1.35""}",2021-07-12,2021-07-12,2021-07-11,26,200,1129,8.84,4,1,2.0,0,5,2012-10-01,2012-12-07,779413.0,1.0,2012.0,1.5,6.0,1,8.88,1.0,2,2,,22,2,,1.0,4.0,3.0,1,4521*1788*1492,201205.0,2,,1.35,7.0
4031,2020-08-06,19.0,"{""2020-08-13"": ""18.8799""}",2020-09-02,2020-09-02,2020-08-13,16,23,1751,0.13,2,7,4.0,0,5,2019-12-01,2020-05-06,,,2020.0,2.5,3.0,1,21.88,1.0,6,2,,18,2,,,,,1+2,4870*1840*1451,201908.0,2,,18.8799,27.0
14172,2020-11-08,70.6,"{""2020-11-13"": ""71.6""}",2020-11-17,2020-11-17,2020-11-13,27,379,3454,8.63,2,15,1.0,0,5,2017-12-01,2018-03-29,,,2018.0,3.0,13.0,1,102.8,1.0,11,2,,29,1,,,,,3+2,4879*2073*1780,201801.0,1,,71.6,9.0
29168,2020-07-10,42.8,{},2020-08-03,2020-08-03,2020-07-10,20,118,5929,0.29,1,28,4.0,0,5,2019-09-01,2019-11-22,,,2020.0,2.0,19.0,1,44.78,1.0,3,2,126.0,21,1,,,,,3+2,4764*1898*1642,201908.0,1,2100-07-10,42.8,24.0
48056,2020-05-21,18.9,{},2020-07-05,2020-07-05,2020-05-21,50,680,8862,3.08,4,13,1.0,0,4,2013-05-01,2015-09-02,779415.0,3.0,2013.0,2.0,3.0,1,27.9,1.0,13,2,534.0,54,7,,1.0,2.0,2.0,1+2,4240*1775*1285,201303.0,1,,18.9,45.0
68725,2021-06-22,4.98,"{""2021-06-29"": ""4.88""}",2021-07-01,2021-07-01,2021-06-29,33,120,11917,5.63,1,1,2.0,0,5,2013-04-01,2013-04-25,779414.0,2.0,2013.0,2.0,3.0,1,15.79,1.0,2,2,,35,2,,1.0,4.0,3.0,1+2,4688*1815*1525,201210.0,1,,4.88,9.0
30611,2021-07-04,3.5,{},2021-07-07,2021-07-07,2021-07-04,32,123,155,4.26,3,1,1.0,0,5,2014-12-01,2015-02-09,779415.0,2.0,2013.0,1.0,4.0,1,5.99,1.0,7,2,95.0,34,3,,1.0,5.0,2.0,,3570*1600*1470,201208.0,1,,3.5,3.0
66239,2020-06-07,1.25,{},2020-07-01,2020-07-01,2020-06-07,32,139,11584,13.84,7,7,3.0,0,5,2008-06-01,2008-07-04,779415.0,2.0,2007.0,1.3,6.0,1,6.98,1.0,4,2,637.0,34,3,,1.0,5.0,2.0,1,3695*1690*1510,,2,,1.25,24.0
38791,2020-12-06,11.2,{},2020-12-13,2020-12-13,2020-12-06,61,348,7388,4.41,5,1,1.0,0,5,2017-09-01,2017-09-26,,1.0,2017.0,2.0,31.0,1,17.78,1.0,3,2,272.0,9,1,,2.0,5.0,2.0,1+2,4765*1931*1655,201704.0,1,,11.2,7.0
59378,2020-12-15,15.0,{},2021-04-06,2021-04-06,2020-12-15,12,92,10510,3.61,2,12,2.0,0,5,2017-12-01,2018-01-30,779415.0,2.0,2016.0,2.0,11.0,1,17.98,1.0,6,2,,16,2,,1.0,4.0,3.0,1+2,4915*1845*1470,201603.0,2,,15.0,112.0
48202,2020-10-04,25.8,{},2020-10-23,2020-10-23,2020-10-04,20,127,8890,4.47,3,19,1.0,0,5,2018-04-01,2018-06-20,,,2018.0,2.0,19.0,1,35.38,1.0,6,2,91.0,21,2,,,,,1+2,4783*1810*1442,201805.0,2,,25.8,19.0
44765,2020-09-11,7.15,"{""2020-09-16"": ""6.99"", ""2020-10-09"": ""6.88"", ""2020-10-15"": ""6.8""}",2020-10-19,2020-10-19,2020-10-15,5,159,516,2.78,1,19,1.0,0,5,2017-12-01,2018-01-24,,,2018.0,1.3,3.0,1,13.39,1.0,2,2,124.0,5,2,,,,,1,4609*1798*1486,201710.0,2,,6.8,38.0
25308,2020-12-08,6.3,{},2020-12-18,2020-12-18,2020-12-08,52,231,799,3.36,1,1,1.0,0,5,2017-07-01,2017-10-25,779413.0,1.0,2017.0,1.8,32.0,1,13.98,,11,2,178.0,57,1,,2.0,5.0,2.0,1,4748*1933*1697,201705.0,2,,6.3,10.0
1366,2021-04-29,4.0,"{""2021-05-10"": ""3.95"", ""2021-05-22"": ""2.94""}",2021-05-22,2021-05-22,2021-05-22,23,35,1172,12.86,2,1,2.0,0,5,2011-10-01,2012-03-01,779419.0,2.0,2009.0,2.0,6.0,1,16.98,,5,2,80.0,25,1,,1.0,5.0,2.0,1,4325*1830*1730,200810.0,1,,2.94,23.0
2302,2021-01-05,5.2,{},2021-02-21,2021-02-21,2021-01-05,30,499,1476,11.13,7,13,2.0,0,5,2011-12-01,2012-09-11,779418.0,2.0,2011.0,2.0,32.0,1,26.8,1.0,2,2,,113,2,,1.0,4.0,3.0,1+2,4468*1770*1452,201101.0,2,,5.2,47.0
26824,2021-01-06,8.8,{},2021-01-12,2021-01-12,2021-01-06,23,270,5510,4.83,3,15,1.0,0,5,2018-10-01,2018-11-27,779419.0,2.0,2018.0,2.0,3.0,1,13.99,1.0,5,2,356.0,25,1,,1.0,5.0,,1,4435*1850*1715,201711.0,2,,8.8,6.0
17036,2021-06-29,6.8,{},2021-06-30,2021-06-30,2021-06-29,18,175,3904,9.54,5,1,2.0,0,5,2009-10-01,2009-11-11,779412.0,2.0,2009.0,2.5,3.0,1,50.36,1.0,8,2,262.0,23,2,,1.0,4.0,3.0,1+2,4981*1846*1477,,1,,6.8,1.0
47749,2020-05-10,3.6,{},2020-05-13,2020-05-13,2020-05-10,5,5,634,7.68,1,1,2.0,0,5,2013-04-01,2013-05-02,779416.0,2.0,2013.0,1.5,3.0,1,11.59,1.0,2,2,1.0,5,2,,1.0,4.0,3.0,1,4515*1725*1445,201302.0,2,,3.6,3.0
7622,2021-06-25,12.8,{},2021-07-06,2021-07-06,2021-06-25,5,73,2388,2.38,5,2,4.0,0,5,2019-02-01,2019-05-07,779416.0,2.0,2019.0,1.5,16.0,1,18.99,1.0,3,2,58.0,5,1,,2.0,5.0,,1+2,4667*1839*1660,201901.0,2,,12.8,11.0
63018,2021-05-15,88.6,"{""2021-05-17"": ""6.98"", ""2021-05-22"": ""6.87""}",2021-05-30,2021-05-30,2021-05-22,30,905,11109,9.1,4,3,1.0,0,4,2012-10-01,2013-10-22,779418.0,3.0,2013.0,2.0,23.0,1,24.99,1.0,2,2,,68,3,,1.0,3.0,2.0,1+2,4266*1782*1447,201209.0,2,,6.87,15.0
666,2021-05-15,17.38,"{""2021-06-23"": ""16.4999""}",2021-09-29,2021-09-29,2021-06-23,4,4,147,1.86,1,3,1.0,0,4,2017-06-01,2017-07-21,779411.0,3.0,2016.0,1.5,3.0,1,23.38,1.0,4,2,92.0,4,3,,2.0,3.0,2.0,1+2,3832*1727*1450,201604.0,1,,16.4999,137.0
26456,2021-06-18,5.9,{},2021-07-01,2021-07-01,2021-06-18,48,269,5455,6.91,1,9,1.0,1,5,2014-06-01,2015-01-04,779414.0,2.0,2014.0,1.8,3.0,1,15.69,1.0,2,2,,52,2,2021-01-11,1.0,4.0,3.0,1+2,4702*1840*1510,201403.0,2,,5.9,13.0
53921,2020-02-27,14.68,{},2020-03-12,2020-03-12,2020-02-27,12,53,9777,6.49,2,8,1.0,0,5,2016-12-01,2017-01-12,779415.0,2.0,2015.0,2.0,11.0,1,19.98,1.0,5,2,42.0,13,1,,1.0,5.0,2.0,1+2,4585*1820*1685,201504.0,2,,14.68,14.0
46027,2020-05-18,11.58,{},2020-05-25,2020-05-25,2020-05-18,5,90,618,4.76,1,1,2.0,0,5,2014-03-01,2014-04-16,779416.0,2.0,2013.0,2.0,3.0,1,29.99,1.0,6,2,,5,2,,2.0,4.0,3.0,1+2,5005*1858*1500,201306.0,1,,11.58,7.0
10541,2021-04-07,10.8,{},2021-04-08,2021-04-08,2021-04-07,8,83,2838,6.76,4,1,2.0,0,5,2013-08-01,2013-12-05,779412.0,2.0,2013.0,1.8,16.0,1,25.28,1.0,6,2,,8,2,,2.0,4.0,3.0,1+2,4812*1855*1417,201306.0,1,,10.8,1.0
50002,2021-03-19,27.8,{},2021-04-02,2021-04-02,2021-03-19,18,33,9136,1.73,7,1,4.0,0,5,2020-04-01,2020-07-27,779412.0,2.0,2020.0,2.0,13.0,1,31.89,1.0,6,2,205.0,23,2,,2.0,4.0,,1+2,4829*1827*1463,202001.0,1,,27.8,14.0
392,2021-07-04,2.4,{},2021-07-27,2021-07-27,2021-07-04,25,235,371,5.62,4,2,1.0,0,5,2016-10-01,2017-02-08,779413.0,1.0,2016.0,1.5,6.0,1,5.99,1.0,1,2,182.0,28,1,,1.0,5.0,2.0,1,4100*1740*1635,201604.0,2,,2.4,23.0
1282,2021-07-02,8.4,{},2021-09-23,2021-09-23,2021-07-02,23,56,882,5.87,1,2,1.0,0,5,2018-02-01,2018-06-29,779419.0,2.0,2017.0,1.8,3.0,1,14.98,1.0,6,2,,25,2,,1.0,4.0,3.0,1+2,4710*1820*1470,201704.0,1,,8.4,83.0
12959,2020-06-05,7.0,{},2020-06-08,2020-06-08,2020-06-05,8,14,3287,9.11,1,1,2.0,0,5,2014-07-01,2014-07-22,779412.0,2.0,2014.0,1.4,31.0,1,16.78,1.0,2,2,,8,2,,2.0,4.0,3.0,1+2,4644*1778*1482,201406.0,1,,7.0,3.0
49520,2020-11-04,4.28,"{""2020-11-11"": ""4.18"", ""2020-11-16"": ""4.1""}",2020-11-17,2020-11-17,2020-11-16,11,700,9071,9.15,5,11,2.0,1,5,2007-12-01,2008-03-26,779412.0,2.0,2006.0,1.8,20.0,1,34.1,1.0,6,2,575.0,12,2,2019-03-27,2.0,4.0,3.0,1+2,4587*1772*1427,,1,,4.1,13.0
7163,2021-03-23,13.5,{},2021-04-09,2021-04-09,2021-03-23,71,279,2280,3.17,1,4,4.0,0,5,2019-05-01,2019-06-04,779413.0,1.0,2019.0,2.0,3.0,1,16.68,1.0,2,2,254.0,84,2,,2.0,4.0,,1+2,4657*1840*1460,201904.0,2,,13.5,17.0
40238,2021-03-18,14.9,{},2021-03-23,2021-03-23,2021-03-18,8,11,426,5.24,2,1,1.0,0,5,2016-11-01,2017-01-10,779412.0,2.0,2016.0,1.8,7.0,1,24.39,1.0,6,2,,10,2,,2.0,4.0,3.0,1+2,4872*1834*1484,201601.0,1,2023-03-18,14.9,5.0
1007,2021-04-21,3.5,{},2021-04-22,2021-04-22,2021-04-21,15,65,902,13.76,2,3,2.0,0,5,2013-02-01,2013-03-20,779413.0,1.0,2013.0,1.8,21.0,1,17.38,1.0,3,2,,17,1,,2.0,5.0,2.0,1+2,4732*1854*1680,201301.0,1,,3.5,1.0
850,2021-05-11,13.1,{},2021-05-11,2021-05-11,2021-05-11,15,126,775,4.21,2,3,1.0,0,7,2018-04-01,2018-05-25,779413.0,1.0,2017.0,2.0,3.0,1,19.98,1.0,3,2,97.0,17,1,,2.0,5.0,2.0,1+2,4810*1910*1770,201610.0,1,,13.1,0.0
65119,2020-02-20,3.98,{},2020-04-29,2020-04-29,2020-02-20,64,250,11426,2.81,1,2,1.0,0,5,2016-07-01,2016-09-01,779413.0,1.0,2016.0,1.5,11.0,1,8.48,1.0,1,2,192.0,73,1,,1.0,5.0,2.0,1,4325*1765*1660,201509.0,1,,3.98,69.0
9584,2020-09-03,18.88,"{""2020-09-08"": ""18.78"", ""2020-09-11"": ""18.5"", ""2020-09-20"": ""18.38""}",2020-09-20,2020-09-20,2020-09-20,66,312,612,1.89,1,18,1.0,2,5,2019-01-01,2019-05-27,779416.0,2.0,2017.0,2.0,13.0,1,27.38,1.0,6,2,,75,2,2020-06-09,2.0,4.0,3.0,1+2,4730*1824*1426,201612.0,1,,18.38,17.0
9522,2020-09-10,4.38,"{""2020-09-21"": ""3.98""}",2020-09-26,2020-09-26,2020-09-21,11,700,2689,8.66,5,19,3.0,0,5,2007-02-01,2007-03-02,779412.0,2.0,2007.0,1.8,20.0,1,30.34,1.0,6,2,575.0,12,2,,2.0,4.0,3.0,1+2,4587*1772*1427,,2,,3.98,16.0
9462,2021-06-13,12.5,"{""2021-06-16"": ""12"", ""2021-06-17"": ""11.8"", ""2021-06-18"": ""11.5"", ""2021-06-23"": ""11"", ""2021-06-25"": ""10.8"", ""2021-07-01"": ""10.2""}",2021-07-01,2021-07-01,2021-07-01,44,201,2698,4.62,2,17,1.0,0,5,2018-07-01,2018-09-13,779416.0,2.0,2017.0,1.4,19.0,1,19.58,1.0,5,2,,46,1,,2.0,5.0,2.0,1+2,4415*1819*1645,201711.0,1,,10.2,18.0
66673,2020-05-13,6.38,{},2020-06-26,2020-06-26,2020-05-13,5,159,323,1.7,6,51,1.0,0,5,2018-04-01,2018-05-17,779416.0,2.0,2018.0,1.0,32.0,1,12.69,1.0,2,2,162.0,5,2,,2.0,4.0,2.0,1,4609*1798*1486,201710.0,2,,6.38,44.0
69765,2020-08-08,6.88,"{""2020-08-10"": ""6.38""}",2020-08-13,2020-08-13,2020-08-10,50,180,12057,16.11,5,3,2.0,0,5,2010-08-01,2011-03-07,779415.0,3.0,2010.0,2.0,17.0,1,25.48,1.0,5,2,483.0,54,1,,1.0,5.0,2.0,1+2,4560*1780*1700,200912.0,1,,6.38,5.0
56254,2020-11-10,38.88,{},2020-11-15,2020-11-15,2020-11-10,42,396,1333,15.43,2,17,1.0,0,5,2016-12-01,2017-03-10,779412.0,3.0,2017.0,2.0,31.0,1,55.0,1.0,3,2,,43,1,,2.0,5.0,2.0,"1+2,4+2",4681*1923*1624,201512.0,2,,38.88,5.0
7205,2021-07-13,13.8,{},2021-08-06,2021-08-06,2021-07-13,11,186,329,4.23,4,2,4.0,0,5,2019-08-01,2019-12-16,779412.0,2.0,2019.0,1.4,16.0,1,19.46,1.0,2,2,165.0,12,2,,,,,1+2,4457*1796*1417,201810.0,2,,13.8,24.0
46063,2020-12-15,9.98,"{""2020-12-16"": ""9.88"", ""2020-12-18"": ""9.7"", ""2020-12-20"": ""9.5"", ""2021-01-06"": ""9.4"", ""2021-01-09"": ""9.2""}",2021-02-04,2021-02-04,2021-01-09,8,14,621,4.57,1,19,1.0,0,5,2018-01-01,2018-02-06,779412.0,2.0,2018.0,1.4,31.0,1,15.98,1.0,2,2,119.0,8,2,,2.0,4.0,3.0,1+2,4655*1780*1453,201710.0,2,,9.2,51.0
37262,2021-05-18,16.28,{},2021-06-02,2021-06-02,2021-05-18,30,143,7150,8.85,3,17,1.0,0,5,2015-07-01,2015-09-17,779418.0,2.0,2015.0,2.0,13.0,1,39.69,1.0,3,2,108.0,32,1,,2.0,5.0,2.0,1+2,4644*1891*1713,201411.0,1,,16.28,15.0
477,2021-07-26,27.5,{},2021-08-24,2021-08-24,2021-07-26,18,25,449,1.4,3,1,1.0,0,5,2018-05-01,2018-12-12,779412.0,3.0,2018.0,2.0,13.0,1,41.98,1.0,6,2,20.0,20,4,,2.0,5.0,3.0,1+2,4852*1828*1518,201709.0,2,,27.5,29.0
59416,2020-07-20,15.28,"{""2020-08-17"": ""14.58""}",2020-08-20,2020-08-20,2020-08-17,12,92,10510,4.23,2,1,1.0,0,5,2017-11-01,2018-01-05,779415.0,2.0,2016.0,2.0,11.0,1,17.98,1.0,6,2,,16,2,,1.0,4.0,3.0,1+2,4915*1845*1470,201603.0,1,,14.58,31.0
